d_company,fecha,Price,id_country,id_sector,Revenue:Q
145,2022-06-16,130.94,11,5,-29.91062307
1389,2022-06-16,53.59,11,5,-35.49736595
42,2022-06-16,102.07,11,8,-24.43016693
21,2022-06-16,139.15,11,8,7.654308104
886,2022-06-16,224.73,11,8,-27.50645299
37,2022-06-16,270.9,26,4,-32.00054878
198,2022-06-16,73.93,11,3,20.94532066
54,2022-06-16,365.08,11,4,-35.50849348
949,2022-06-16,165.45,11,10,-29.6901972
96,2022-06-16,82.05,11,4,-40.8179433
673,2022-06-16,18.94,11,11,-20.12400629
303,2022-06-16,53.01,11,2,-7.234595205
272,2022-06-16,114.96,11,8,-23.54535863
186,2022-06-16,235.1,11,1,-21.5600971
762,2022-06-16,87.46,11,4,-25.13909294
4151,2022-06-16,38.68,11,5,-21.41406065
367,2022-06-16,202.17,11,1,-12.13077457
536,2022-06-16,130.54,11,9,-39.06847381
694,2022-06-16,229.82,11,8,-61.37868311
1155,2022-06-16,96.37,26,5,-26.01250232
826,2022-06-16,54.97,11,11,8.584430512
337,2022-06-16,119.53,11,2,4.568108075
4,2022-06-16,2132.72,11,3,-18.32961724
5,2022-06-16,2120.67,11,3,-28.49667142
114,2022-06-16,45.38,11,7,-41.41755055
3,2022-06-16,103.66,11,10,-38.61586518
641,2022-06-16,11.71,14,1,-0.833546344
567,2022-06-16,82,11,11,-6.303826417
3004,2022-06-16,12.16,11,5,-26.39225478
242,2022-06-16,89.19,11,11,3.03668052
123,2022-06-16,137.5,11,2,-15.19327946
251,2022-06-16,49.97,11,2,-8.563050648
105,2022-06-16,234.18,11,9,-14.81236676
460,2022-06-16,130.88,11,11,-27.85345457
384,2022-06-16,235.6,11,2,-20.87687118
491,2022-06-16,140.96,11,8,14.41188715
414,2022-06-16,108.23,11,5,-24.49553954
59,2022-06-16,230.71,11,8,5.380942232
252,2022-06-16,62.51,11,4,-24.80087381
128,2022-06-16,143.46,11,4,-16.10882997
601,2022-06-16,227.7,11,4,-42.80906501
176,2022-06-16,248.5,11,2,-15.4804455
709,2022-06-16,41.76,11,6,69.62991934
1,2022-06-16,130.06,11,4,-24.2909481
137,2022-06-16,89.59,11,4,-38.67069723
479,2022-06-16,86.16,26,10,-46.86729051
203,2022-06-16,79.03,11,7,20.60542208
440,2022-06-16,90.42,11,4,-30.52097849
294,2022-06-16,149.05,11,2,-9.669488314
1172,2022-06-16,169.08,11,2,10.79982705
70,2022-06-16,18.96,11,3,0.050719517
743,2022-06-16,104.58,11,11,5.518146645
241,2022-06-16,164.31,11,4,-39.05641242
92,2022-06-16,199.94,11,4,-12.91711272
228,2022-06-16,2001.16,11,10,-0.500190763
478,2022-06-16,186.39,11,9,-23.24297474
742,2022-06-16,153.31,11,1,-26.6830128
439,2022-06-16,29.89,11,6,24.59013213
683,2022-06-16,63.31,11,1,-31.09149258
25,2022-06-16,31.85,11,2,-28.46541431
381,2022-06-16,41.21,11,2,-28.47934916
1311,2022-06-16,32.1,11,10,-53.3926545
401,2022-06-16,65.29,11,8,-21.62820131
154,2022-06-16,234.74,11,8,-5.762045861
10,2022-06-16,268.56,11,2,-10.53070409
804,2022-06-16,68.48,11,10,-30.17409856
269,2022-06-16,191.53,11,8,-18.67782129
1171,2022-06-16,470.38,11,8,-35.94520417
918,2022-06-16,322.67,11,8,-31.89952858
109,2022-06-16,585.77,11,2,-35.5261299
111,2022-06-16,133.36,11,5,-30.10115556
136,2022-06-16,1846.24,11,10,-14.71977749
1131,2022-06-16,32.95,11,10,-24.86185034
961,2022-06-16,88.55,11,9,-21.09395417
173,2022-06-16,35.51,11,8,-12.16918612
49,2022-06-16,72.62,11,8,18.70602321
38,2022-06-16,497.18,11,4,-18.83966928
662,2022-06-16,134.16,11,4,-24.80242088
724,2022-06-16,53.28,11,2,-20.49990176
573,2022-06-16,66.04,11,7,-8.647988392
246,2022-06-16,141.08,11,4,-21.45640482
1153,2022-06-16,37.67,11,10,-5.963034274
851,2022-06-16,127.58,11,9,-24.33407087
973,2022-06-16,45.18,11,7,-27.23721754
295,2022-06-16,102.11,11,2,-18.6117987
565,2022-06-16,50.48,11,8,3.969050871
1094,2022-06-16,85.76,11,10,4.475716133
1196,2022-06-16,8.75,11,10,-50.19920232
378,2022-06-16,34.58,11,5,-35.38007
881,2022-06-16,100.8,11,8,-10.96368382
91,2022-06-16,194.79,11,5,-4.559312216
799,2022-06-16,108.87,11,2,-16.86172282
519,2022-06-16,68.15,11,9,-35.65898536
517,2022-06-16,155.94,11,4,-16.47364016
1034,2022-06-16,123.19,11,1,-23.7358367
248,2022-06-16,76.64,11,8,-27.66040609
640,2022-06-16,27.44,11,11,-2.614053919
1145,2022-06-16,44.05,11,4,-56.06861403
528,2022-06-16,90.61,11,1,-20.61116635
861,2022-06-16,101.09,11,5,-35.65898536
970,2022-06-16,205.11,11,8,-30.19971954
87,2022-06-16,60.86,11,2,-11.86586723
327,2022-06-16,415.35,11,3,-16.47364016
12,2022-06-16,155.48,11,6,5.388514541
264,2022-06-16,1214.56,11,10,-27.07247205
115,2022-06-16,189.19,16,2,-2.614053919
615,2022-06-16,82.2,11,7,-16.86172282
93,2022-06-16,248.3,11,8,-23.7358367
700,2022-06-16,112.7,11,2,-7.662651338
317,2022-06-16,348.89,11,5,-21.76411781
45,2022-06-16,43.32,11,4,-4.639804134
112,2022-06-16,46.89,11,2,-21.80815756
579,2022-06-16,35.04,11,2,-4.559312216
646,2022-06-16,122.57,11,7,-56.06861403
159,2022-06-16,203.28,11,2,-43.16393321
685,2022-06-16,61.5,11,11,35.8470807
28,2022-06-16,59.07,11,7,3827092992
363,2022-06-16,65.79,11,4,-13.92787331
165,2022-06-16,73.92,11,7,-0.762680409
57,2022-06-16,37.91,11,3,-2.144169037
1111,2022-06-16,73.75,11,2,42.03208605
649,2022-06-16,31.75,11,7,-6.077276867
47,2022-06-16,102.42,11,6,-2.81249266
380,2022-06-16,87.67,11,11,-3.786784836
360,2022-06-16,225.77,11,7,-36.84158982
406,2022-06-16,58.26,11,11,-35.38007
809,2022-06-16,305.16,11,8,14.59246923
483,2022-06-16,102.78,11,5,-21.80815756
475,2022-06-16,31.37,11,4,-2.001017535
234,2022-06-16,54.04,11,1,-6.077276867
408,2022-06-16,80.17,11,5,556921024
29,2022-06-16,451.76,11,7,-22.89781672
480,2022-06-16,28.63,11,6,-21.55258157
191,2022-06-16,154.99,11,9,-21.30307269
162,2022-06-16,29.05,11,5,2.226925302
352,2022-06-16,189.15,11,5,-34.23636042
69,2022-06-16,89.85,11,8,45.0021889
43,2022-06-16,240.85,11,8,-21.30307269
657,2022-06-16,111.84,11,10,-17.37430013
1668,2022-06-16,87.94,11,8,-48.62475461
85,2022-06-16,317.57,11,5,-14.24467138
1624,2022-06-16,29.58,11,5,-22.7129781
1427,2022-06-16,34.74,11,8,-18.26838437
212,2022-06-16,63.27,11,6,30.62425688
282,2022-06-16,67.99,11,8,-21.89434733
424,2022-06-16,133.68,11,6,-41.0800057
415,2022-06-16,125.31,11,9,-10.28946926
447,2022-06-16,89.53,11,2,15.63593199
2183,2022-06-16,16.73,11,3,-12.14819439
181,2022-06-16,232.23,11,10,556921024
366,2022-06-16,151.17,11,10,-24.26287959
189,2022-06-16,74.38,11,11,
895,2022-06-16,379.55,11,10,-8.309222153
612,2022-06-16,119.82,11,5,-22.74292058
329,2022-06-16,55.42,11,1,-16.55754535
506,2022-06-16,61.3,11,10,48.6436277
613,2022-06-16,116.61,11,11,-35.56785177
143,2022-06-16,99.54,11,11,62.17152418
443,2022-06-16,56.78,11,1,-29.71346387
1378,2022-06-16,29.75,11,4,-25.75059579
1024,2022-06-16,87.45,11,1,-0.924243438
179,2022-06-16,126.11,11,5,-26.62875004
530,2022-06-16,41.08,11,10,3.34560422
284,2022-06-16,145.63,11,1,9.472085001
542,2022-06-16,60.33,11,11,-29.98874295
192,2022-06-16,87.73,11,8,-12.73040766
313,2022-06-16,127.98,11,3,-48.20433456
65,2022-06-16,454.76,11,8,-40.9790431
17,2022-06-16,288.07,11,8,-34.00976612
209,2022-06-16,81,11,5,-2.962675432
338,2022-06-16,169.595,11,4,-27.20713763
550,2022-06-16,105.87,11,11,-0.819155994
119,2022-06-16,119.56,11,6,-5.3452125
609,2022-06-16,286.16,11,4,-26.08488036
798,2022-06-16,43.94,11,6,1663926016
586,2022-06-16,170.35,11,5,-28.27108377
216,2022-06-16,618.43,11,9,-24.45270397
494,2022-06-16,68.74,11,9,-35.29545365
715,2022-06-16,253.94,11,9,-9.404456881
258,2022-06-16,233.12,11,7,3.733871576
815,2022-06-16,69,11,10,2.083446652
922,2022-06-16,265,47,2,-30.70447387
781,2022-06-16,60.74,11,11,4.015541486
456,2022-06-16,78.81,11,11,-36.4454893
305,2022-06-16,41.22,11,11,-11.1370208
730,2022-06-16,96.33,11,10,43.743077
686,2022-06-16,96.3,11,5,-2.607585209
520,2022-06-16,159.94,11,9,-54.98717813
9,2022-06-16,91.39,11,6,-36.38686721
1109,2022-06-16,149.14,11,4,-9.273545727
693,2022-06-16,348.71,11,2,-35.44110818
430,2022-06-16,48.73,11,5,-24.16259769
1261,2022-06-16,93.85,11,9,-22.36243425
290,2022-06-16,225.31,11,5,-68.39067199
223,2022-06-16,90.7,11,4,-12.00088529
490,2022-06-16,33.25,11,2,-37.62221952
556,2022-06-16,134.62,11,2,-25.70757721
566,2022-06-16,36.33,11,11,-0.917160273
175,2022-06-16,88.38,11,4,7.998542372
797,2022-06-16,212.06,11,4,-28.5556625
721,2022-06-16,103.91,11,1,-24.10943509
214,2022-06-16,11.25,11,10,1663926016
293,2022-06-16,263.73,11,4,-25.53101596
518,2022-06-16,53.75,11,5,-5.208095606
1260,2022-06-16,58.31,11,5,-20.93105401
1068,2022-06-16,29.8,11,3,52.11063608
2036,2022-06-16,32.28,11,3,-36.24588379
1372,2022-06-16,23.15,11,2,-30.9447093
236,2022-06-16,34.87,11,1,-24.87189064
807,2022-06-16,92.78,16,10,-12.27298895
500,2022-06-16,224.07,11,4,-26.20560608
1294,2022-06-16,223.99,11,5,-44.06872383
171,2022-06-16,211.89,11,5,-15.55164988
116,2022-06-16,65.29,11,5,-22.56924454
231,2022-06-16,66.75,11,7,-8.188405336
224,2022-06-16,31.42,11,10,-0.133129508
499,2022-06-16,128.31,11,10,-44.00211996
107,2022-06-16,57.72,11,8,-33.98963686
356,2022-06-16,106.98,11,4,-12.61651853
962,2022-06-16,90.44,11,2,-15.68403214
