Name,Price,"Cntry Terrtry Fl Name","GICS Sector","Revenue:Q",id_company
3M Co,125.35,11,5,8618999808,145
A O Smith Corp,55.97,11,5,874200000,1389
Abbott Laboratories,99.64,11,8,10410000384,42
AbbVie Inc,148.53,11,8,14812000256,21
ABIOMED Inc,374,11,8,265920992,886
Accenture PLC,269.03,26,4,15423655936,37
Activision Blizzard Inc,72,11,3,1782000000,198
Adobe Inc,302.17,11,4,4432999936,54
Advance Auto Parts Inc,182.64,11,10,2665425920,949
Advanced Micro Devices Inc,63.85,11,4,5565000192,96
AES Corp/The,26.49,11,11,3627000064,673
Aflac Inc,67.98,11,2,4819999744,303
Agilent Technologies Inc,138.75,11,8,1718000000,272
Air Products and Chemicals Inc,283,11,1,3569999872,186
Akamai Technologies Inc,83.89,11,4,881896000,762
Alaska Air Group Inc,45.12,11,5,2828000000,4151
Albemarle Corp,306.01,11,1,2091805056,367
Alexandria Real Estate Equities Inc,145.6,11,9,659852032,536
Align Technology Inc,180.4,11,8,890348032,694
Allegion plc,106.78,26,5,913699968,1155
Alliant Energy Corp,52.98,11,11,1135000064,826
Allstate Corp/The,130.26,11,2,13208000512,337
Alphabet Inc,88.9,11,3,69091999744,4
Alphabet Inc,88.91,11,3,69091999744,5
Altria Group Inc,45.9,11,7,5411999744,114
Amazon.com Inc,89.98,11,10,1.27101E+11,3
Amcor PLC,11.22,14,1,3712000000,641
Ameren Corp,82.33,11,11,2305999872,567
American Airlines Group Inc,14.25,11,5,13461999616,3004
American Electric Power Co Inc,89.25,11,11,5526099968,242
American Express Co,150.2,11,2,14352000000,123
American International Group Inc,59.13,11,2,14602000384,251
American Tower Corp,203.02,11,9,2671500032,105
American Water Works Co Inc,139.79,11,11,1082000000,460
Ameriprise Financial Inc,320.25,11,2,3505999872,384
AmerisourceBergen Corp,159.66,11,8,61174149120,491
AMETEK Inc,137.22,11,5,1551785984,414
Amgen Inc,292.39,11,8,6652000256,59
Amphenol Corp,75.95,11,4,3295200000,252
Analog Devices Inc,151.04,11,4,3109880064,128
ANSYS Inc,228.6,11,4,472511008,601
Aon PLC,286.78,11,2,2696000000,176
APA Corp,49.04,11,6,2843000064,709
Apple Inc,139.5,11,4,90145996800,1
Applied Materials Inc,97.46,11,4,6520000000,137
Aptiv PLC,101.13,26,10,4614000128,479
Arch Capital Group Ltd,57.72,47,2,2386248960,624
Archer-Daniels-Midland Co,96.39,11,7,24682999808,203
Arista Networks Inc,129.11,11,4,1176801024,440
Arthur J Gallagher & Co,192.39,11,2,2044000000,294
Assurant Inc,123,11,2,2547800064,1172
AT&T Inc,18.57,11,3,30043000832,70
Atmos Energy Corp,104.64,11,11,816428992,743
Autodesk Inc,199.01,11,4,1236999936,241
Automatic Data Processing Inc,245.04,11,4,4215600128,92
AutoZone Inc,2495.6001,11,10,5348355072,228
AvalonBay Communities Inc,161.05,11,9,665288000,478
Avery Dennison Corp,176.09,11,1,2317100032,742
Baker Hughes Co,30.94,11,6,5368999936,439
Ball Corp,50.54,11,1,3951000064,683
Bank of America Corp,37.11,11,2,30357999616,25
Bank of New York Mellon Corp/The,42.7,11,2,5336999936,381
Bath & Body Works Inc,33.56,11,10,1618000000,1311
Baxter International Inc,52.65,11,8,3772999936,401
Becton Dickinson and Co,219.49,11,8,4640999936,154
Berkshire Hathaway Inc,292.61,11,2,63468998656,10
Best Buy Co Inc,68.82,11,10,10328999936,804
Biogen Inc,286.16,11,8,2508499968,269
Bio-Rad Laboratories Inc,381.83,11,8,680800000,1171
Bio-Techne Corp,310.39,11,8,269655008,918
BlackRock Inc,686.33,11,2,4311000064,109
Boeing Co/The,169.62,11,5,15955999744,111
Booking Holdings Inc,1859.1899,11,10,6051999744,136
BorgWarner Inc,38.85,11,10,4060000000,1131
Boston Properties Inc,71.53,11,9,790523008,961
Boston Scientific Corp,41.92,11,8,3169999872,173
