Ticker
AAPL UW Equity
MSFT UW Equity
AMZN UW Equity
GOOGL UW Equity
GOOG UW Equity
TSLA UW Equity
UNH UN Equity
JNJ UN Equity
XOM UN Equity
BRK/B UN Equity
JPM UN Equity
CVX UN Equity
V UN Equity
PG UN Equity
NVDA UW Equity
META UW Equity
LLY UN Equity
HD UN Equity
2330 TT Equity
NESN SE Equity
ABBV UN Equity
MA UN Equity
PFE UN Equity
MRK UN Equity
BAC UN Equity
PEP UW Equity
ROG SE Equity
KO UN Equity
COST UW Equity
WMT UN Equity
TMO UN Equity
SHEL LN Equity
ASML NA Equity
MCD UN Equity
005930 KP Equity
DIS UN Equity
ACN UN Equity
AVGO UW Equity
NOVN SE Equity
WFC UN Equity
NOVOB DC Equity
ABT UN Equity
DHR UN Equity
AZN LN Equity
CSCO UW Equity
MC FP Equity
COP UN Equity
700 HK Equity
BMY UN Equity
CRM UN Equity
TXN UW Equity
LIN UN Equity
7203 JT Equity
ADBE UW Equity
NEE UN Equity
VZ UN Equity
CMCSA UW Equity
TTE FP Equity
AMGN UW Equity
PM UN Equity
RTX UN Equity
QCOM UW Equity
RY CT Equity
HON UW Equity
ELV UN Equity
BHP AT Equity
NFLX UW Equity
ARAMCO AB Equity
CVS UN Equity
T UN Equity
UPS UN Equity
LMT UN Equity
UNP UN Equity
IBM UN Equity
LOW UN Equity
9988 HK Equity
INTU UW Equity
GS UN Equity
INTC UW Equity
TD CT Equity
MDT UN Equity
NKE UN Equity
ULVR LN Equity
ORCL UN Equity
DE UN Equity
CBA AT Equity
SCHW UN Equity
MS UN Equity
HSBA LN Equity
SPGI UN Equity
CAT UN Equity
ADP UW Equity
CI UN Equity
PYPL UW Equity
PLD UN Equity
AMD UW Equity
SBUX UW Equity
DGE LN Equity
BP/ LN Equity
1299 HK Equity
SAP GY Equity
SAN FP Equity
TMUS UW Equity
RIL IS Equity
AMT UN Equity
SIE GY Equity
GILD UW Equity
BATS LN Equity
BLK UN Equity
RJHI AB Equity
BA UN Equity
C UN Equity
CSL AT Equity
MO UN Equity
CB UN Equity
GE UN Equity
6758 JT Equity
MDLZ UW Equity
EOG UN Equity
VRTX UW Equity
ISRG UW Equity
MMC UN Equity
AXP UN Equity
ENB CT Equity
REGN UW Equity
CNR CT Equity
OR FP Equity
ADI UW Equity
TGT UN Equity
TJX UN Equity
HDFCB IS Equity
NOC UN Equity
SYK UN Equity
NOW UN Equity
SLB UN Equity
BKNG UW Equity
AMAT UW Equity
600519 C1 Equity
PGR UN Equity
SU FP Equity
ALV GY Equity
ICICIBC IS Equity
DUK UN Equity
SO UN Equity
MMM UN Equity
WM UN Equity
CNQ CT Equity
PNC UN Equity
CP CT Equity
HUM UN Equity
3690 HK Equity
ZTS UN Equity
AI FP Equity
BDX UN Equity
GSK LN Equity
NAB AT Equity
ZURN SE Equity
PXD UN Equity
CME UW Equity
MU UW Equity
6861 JT Equity
CSX UW Equity
