Ticker,Name
AAPL UW Equity,Apple Inc
MSFT UW Equity,Microsoft Corp
AMZN UW Equity,Amazon.com Inc
GOOGL UW Equity,Alphabet Inc
GOOG UW Equity,Alphabet Inc
TSLA UW Equity,Tesla Inc
UNH UN Equity,UnitedHealth Group Inc
JNJ UN Equity,Johnson & Johnson
XOM UN Equity,Exxon Mobil Corp
BRK/B UN Equity,Berkshire Hathaway Inc
JPM UN Equity,JPMorgan Chase & Co
CVX UN Equity,Chevron Corp
V UN Equity,Visa Inc
PG UN Equity,Procter & Gamble Co/The
NVDA UW Equity,NVIDIA Corp
META UW Equity,Meta Platforms Inc
LLY UN Equity,Eli Lilly & Co
HD UN Equity,Home Depot Inc/The
2330 TT Equity,Taiwan Semiconductor Manufacturing Co Ltd
NESN SE Equity,Nestle SA
ABBV UN Equity,AbbVie Inc
MA UN Equity,Mastercard Inc
PFE UN Equity,Pfizer Inc
MRK UN Equity,Merck & Co Inc
BAC UN Equity,Bank of America Corp
PEP UW Equity,PepsiCo Inc
ROG SE Equity,Roche Holding AG
KO UN Equity,Coca-Cola Co/The
COST UW Equity,Costco Wholesale Corp
WMT UN Equity,Walmart Inc
TMO UN Equity,Thermo Fisher Scientific Inc
SHEL LN Equity,Shell PLC
ASML NA Equity,ASML Holding NV
MCD UN Equity,McDonald's Corp
005930 KP Equity,Samsung Electronics Co Ltd
DIS UN Equity,Walt Disney Co/The
ACN UN Equity,Accenture PLC
AVGO UW Equity,Broadcom Inc
NOVN SE Equity,Novartis AG
WFC UN Equity,Wells Fargo & Co
NOVOB DC Equity,Novo Nordisk A/S
ABT UN Equity,Abbott Laboratories
DHR UN Equity,Danaher Corp
AZN LN Equity,AstraZeneca PLC
CSCO UW Equity,Cisco Systems Inc
MC FP Equity,LVMH Moet Hennessy Louis Vuitton SE
COP UN Equity,ConocoPhillips
700 HK Equity,Tencent Holdings Ltd
BMY UN Equity,Bristol-Myers Squibb Co
CRM UN Equity,Salesforce Inc
TXN UW Equity,Texas Instruments Inc
LIN UN Equity,Linde PLC
7203 JT Equity,Toyota Motor Corp
ADBE UW Equity,Adobe Inc
NEE UN Equity,NextEra Energy Inc
VZ UN Equity,Verizon Communications Inc
CMCSA UW Equity,Comcast Corp
TTE FP Equity,TotalEnergies SE
AMGN UW Equity,Amgen Inc
PM UN Equity,Philip Morris International Inc
RTX UN Equity,Raytheon Technologies Corp
QCOM UW Equity,QUALCOMM Inc
RY CT Equity,Royal Bank of Canada
HON UW Equity,Honeywell International Inc
ELV UN Equity,Elevance Health Inc
BHP AT Equity,BHP Group Ltd
NFLX UW Equity,Netflix Inc
ARAMCO AB Equity,Saudi Arabian Oil Co
CVS UN Equity,CVS Health Corp
T UN Equity,AT&T Inc
UPS UN Equity,United Parcel Service Inc
LMT UN Equity,Lockheed Martin Corp
UNP UN Equity,Union Pacific Corp
IBM UN Equity,International Business Machines Corp
LOW UN Equity,Lowe's Cos Inc
9988 HK Equity,Alibaba Group Holding Ltd
INTU UW Equity,Intuit Inc
GS UN Equity,Goldman Sachs Group Inc/The
INTC UW Equity,Intel Corp
TD CT Equity,Toronto-Dominion Bank/The
MDT UN Equity,Medtronic PLC
NKE UN Equity,NIKE Inc
ULVR LN Equity,Unilever PLC
ORCL UN Equity,Oracle Corp
DE UN Equity,Deere & Co
CBA AT Equity,Commonwealth Bank of Australia
SCHW UN Equity,Charles Schwab Corp/The
MS UN Equity,Morgan Stanley
HSBA LN Equity,HSBC Holdings PLC
SPGI UN Equity,S&P Global Inc
CAT UN Equity,Caterpillar Inc
ADP UW Equity,Automatic Data Processing Inc
CI UN Equity,Cigna Corp
PYPL UW Equity,PayPal Holdings Inc
PLD UN Equity,Prologis Inc
AMD UW Equity,Advanced Micro Devices Inc
SBUX UW Equity,Starbucks Corp
DGE LN Equity,Diageo PLC
BP/ LN Equity,BP PLC
1299 HK Equity,AIA Group Ltd
SAP GY Equity,SAP SE
SAN FP Equity,Sanofi
TMUS UW Equity,T-Mobile US Inc
RIL IS Equity,Reliance Industries Ltd
AMT UN Equity,American Tower Corp
SIE GY Equity,Siemens AG
GILD UW Equity,Gilead Sciences Inc
BATS LN Equity,British American Tobacco PLC
BLK UN Equity,BlackRock Inc
RJHI AB Equity,Al Rajhi Bank
BA UN Equity,Boeing Co/The
C UN Equity,Citigroup Inc
CSL AT Equity,CSL Ltd
MO UN Equity,Altria Group Inc
CB UN Equity,Chubb Ltd
GE UN Equity,General Electric Co
6758 JT Equity,Sony Group Corp
MDLZ UW Equity,Mondelez International Inc
EOG UN Equity,EOG Resources Inc
VRTX UW Equity,Vertex Pharmaceuticals Inc
ISRG UW Equity,Intuitive Surgical Inc
MMC UN Equity,Marsh & McLennan Cos Inc
AXP UN Equity,American Express Co
ENB CT Equity,Enbridge Inc
REGN UW Equity,Regeneron Pharmaceuticals Inc
CNR CT Equity,Canadian National Railway Co
OR FP Equity,L'Oreal SA
ADI UW Equity,Analog Devices Inc
TGT UN Equity,Target Corp
TJX UN Equity,TJX Cos Inc/The
HDFCB IS Equity,HDFC Bank Ltd
NOC UN Equity,Northrop Grumman Corp
SYK UN Equity,Stryker Corp
NOW UN Equity,ServiceNow Inc
SLB UN Equity,Schlumberger NV
BKNG UW Equity,Booking Holdings Inc
AMAT UW Equity,Applied Materials Inc
600519 C1 Equity,Kweichow Moutai Co Ltd
PGR UN Equity,Progressive Corp/The
SU FP Equity,Schneider Electric SE
ALV GY Equity,Allianz SE
ICICIBC IS Equity,ICICI Bank Ltd
DUK UN Equity,Duke Energy Corp
SO UN Equity,Southern Co/The
MMM UN Equity,3M Co
WM UN Equity,Waste Management Inc
CNQ CT Equity,Canadian Natural Resources Ltd
PNC UN Equity,PNC Financial Services Group Inc/The
CP CT Equity,Canadian Pacific Railway Ltd
HUM UN Equity,Humana Inc
3690 HK Equity,Meituan
ZTS UN Equity,Zoetis Inc
AI FP Equity,Air Liquide SA
BDX UN Equity,Becton Dickinson and Co
GSK LN Equity,GSK PLC
NAB AT Equity,National Australia Bank Ltd
ZURN SE Equity,Zurich Insurance Group AG
PXD UN Equity,Pioneer Natural Resources Co
CME UW Equity,CME Group Inc
MU UW Equity,Micron Technology Inc
6861 JT Equity,Keyence Corp
CSX UW Equity,CSX Corp
BX UN Equity,Blackstone Inc
MPC UN Equity,Marathon Petroleum Corp
CL UN Equity,Colgate-Palmolive Co
AIR FP Equity,Airbus SE
INFO IS Equity,Infosys Ltd
GLEN LN Equity,Glencore PLC
9432 JT Equity,Nippon Telegraph & Telephone Corp
BMO CT Equity,Bank of Montreal
GD UN Equity,General Dynamics Corp
DTE GY Equity,Deutsche Telekom AG
BSX UN Equity,Boston Scientific Corp
IBE SQ Equity,Iberdrola SA
FISV UW Equity,Fiserv Inc
AON UN Equity,Aon PLC
RIO LN Equity,Rio Tinto PLC
TFC UN Equity,Truist Financial Corp
ETN UN Equity,Eaton Corp PLC
CS FP Equity,AXA SA
DG UN Equity,Dollar General Corp
4568 JT Equity,Daiichi Sankyo Co Ltd
VALE3 BS Equity,Vale SA
USB UN Equity,US Bancorp
ITW UN Equity,Illinois Tool Works Inc
APD UN Equity,Air Products and Chemicals Inc
BNS CT Equity,Bank of Nova Scotia/The
8306 JT Equity,Mitsubishi UFJ Financial Group Inc
D UN Equity,Dominion Energy Inc
MCK UN Equity,McKesson Corp
CCI UN Equity,Crown Castle Inc
EW UN Equity,Edwards Lifesciences Corp
WBC AT Equity,Westpac Banking Corp
VLO UN Equity,Valero Energy Corp
BNP FP Equity,BNP Paribas SA
939 HK Equity,China Construction Bank Corp
ICE UN Equity,Intercontinental Exchange Inc
ATVI UW Equity,Activision Blizzard Inc
OXY UN Equity,Occidental Petroleum Corp
LRCX UW Equity,Lam Research Corp
SHW UN Equity,Sherwin-Williams Co/The
IHC DH Equity,International Holding Co PJSC
ADM UN Equity,Archer-Daniels-Midland Co
NSC UN Equity,Norfolk Southern Corp
DG FP Equity,Vinci SA
BAM/A CT Equity,Brookfield Asset Management Inc
ORLY UW Equity,O'Reilly Automotive Inc
UBER UN Equity,Uber Technologies Inc
EMR UN Equity,Emerson Electric Co
SNB AB Equity,Saudi National Bank/The
UBSG SE Equity,UBS Group AG
DVN UN Equity,Devon Energy Corp
REL LN Equity,RELX PLC
F UN Equity,Ford Motor Co
MBG GY Equity,Mercedes-Benz Group AG
EQIX UW Equity,Equinix Inc
PSX UN Equity,Phillips 66
RKT LN Equity,Reckitt Benckiser Group PLC
LHX UN Equity,L3Harris Technologies Inc
EL FP Equity,EssilorLuxottica SA
HDFC IS Equity,Housing Development Finance Corp Ltd
BAYN GY Equity,Bayer AG
FIS UN Equity,Fidelity National Information Services Inc
GM UN Equity,General Motors Co
PANW UW Equity,Palo Alto Networks Inc
SNOW UN Equity,Snowflake Inc
SU CT Equity,Suncor Energy Inc
AZO UN Equity,AutoZone Inc
HCA UN Equity,HCA Healthcare Inc
7974 JT Equity,Nintendo Co Ltd
GIS UN Equity,General Mills Inc
MRNA UW Equity,Moderna Inc
SNPS UW Equity,Synopsys Inc
CTVA UN Equity,Corteva Inc
CFR SE Equity,Cie Financiere Richemont SA
FCX UN Equity,Freeport-McMoRan Inc
SRE UN Equity,Sempra Energy
SAN SQ Equity,Banco Santander SA
PSA UN Equity,Public Storage
MAR UW Equity,Marriott International Inc/MD
ADSK UW Equity,Autodesk Inc
AEP UW Equity,American Electric Power Co Inc
KLAC UW Equity,KLA Corp
NTR CT Equity,Nutrien Ltd
ABBN SE Equity,ABB Ltd
CDNS UW Equity,Cadence Design Systems Inc
RMS FP Equity,Hermes International
CNC UN Equity,Centene Corp
9433 JT Equity,KDDI Corp
ANZ AT Equity,Australia & New Zealand Banking Group Ltd
AIG UN Equity,American International Group Inc
APH UN Equity,Amphenol Corp
WDS AT Equity,Woodside Energy Group Ltd
MET UN Equity,MetLife Inc
TRV UN Equity,Travelers Cos Inc/The
BAS GY Equity,BASF SE
9618 HK Equity,JD.com Inc
EL UN Equity,Estee Lauder Cos Inc/The
TRP CT Equity,TC Energy Corp
6098 JT Equity,Recruit Holdings Co Ltd
9984 JT Equity,SoftBank Group Corp
