Name;Weight;Shares;id_paises;PIB
Argentina;0.003306;239063000;68;4.91493E+11
Australia;1962482;213214.21;19;1.54266E+12
Austria ;0.07;1776.05;51;4.77082E+11
Bahamas ;0;73517000;75;11208600000
Belgium ;0.21;3140.32;41;5.99879E+11
Bermuda ;0.09;1528.94;47;7080900000
Brazil ;0.82;137383.44;27;1.60898E+12
Canada ;3156215;69626.28;15;1.99076E+12
Cayman Islands ;0;158352000;74;8.12867E+11
Chile ;0.08;701458.98;49;3.17059E+11
China ;4147396;1570638.97;13;1.77341E+13
Colombia;0.02;13070.58;57;3.14322E+11
Costa Rica;0;21446000;71;64282438667
Czech Republic ;0.01;600200000;62;4.22312E+12
Denmark;0.61;8179.53;29;3371102124
Egypt ;0.01;16723;60;1.06166E+11
Faeroe Island;0;49580000;66;4592118710
Finland;0.31;16067.53;36;2.99155E+14
France ;2442215;32800.03;17;404178049.8
Gabon;0;0.75;78;3.18686E+12
Georgia;0;46474000;72;77594279055
Germany ;1715053;30322.71;20;4.22312E+12
Gibraltar ;0;355283000;76;2078070684
Greece ;0.04;7285.96;55;1638517533
Hong Kong ;0.73;323122.13;28;67837788544
Hungary ;0.02;1253.21;59;20944392615
India;2185273;238921.23;18;1.18609E+12
Indonesia ;0.28;1456996.84;39;1.18609E+12
Ireland ;0.83;11516.33;26;4.9856E+11
Isle of Man;0;266475000;70;7.31539E+14
Israel ;0.32;21345.16;35;2.07889E+11
Italy ;0.5;72777.21;31;25458933916
Japan ;5714902;207600.16;12;2.09988E+12
Jersey;0.01;2840.5;61;5.51495E+12
Jordan ;0;131532000;69;13638230996
Kazakhstan ;0;16939000;73;45243661972
Kuwait ;0.11;35926.08;44;1.0596E+14
Luxembourg ;0.06;3370.05;53;2518468891
Macau ;0.01;5500.16;63;65503849705
Malaysia ;0.15;139681.74;43;29905190182
Mexico ;0.34;108728.06;34;1.29304E+12
Monaco;0;47777000;67;19143741503
Netherlands;1039974;20684.51;23;12626718074
New Zealand;0.09;17183.84;48;2.49939E+13
Norway ;0.24;16138.92;40;4.82437E+11
Pakistan;0.01;7055.01;64;85868626528
Panama;0;43255.7;65;3.46343E+11
Peru ;0.03;1872.15;56;3.94086E+11
Philippines;0.1;116731.17;45;3.94086E+14
Poland ;0.07;9457.49;52;26594277246
Portugal;0.05;12706.86;54;6.74048E+11
Puerto Rico;0.02;383962000;58;1.03138E+11
Qatar;0.17;62042.8;42;1.79571E+14
Saudi Arabia ;0.91;47860.86;24;1.7758E+12
Singapore ;0.38;123720.04;32;27625388352
South Africa ;0.29;59944.47;38;63068134601
South Korea;1170038;31953.97;22;8543423503
Spain ;0.56;70002.14;30;5.26938E+11
Sweden ;0.84;55400.09;25;6.27438E+11
Switzerland;2528442;34959.18;16;943269768
Taiwan;1478905;494160.48;21;1.1565E+12
Thailand ;0.34;520524.44;33;8746270636
Turkey ;0.1;40881.94;46;8.15272E+11
Ukraine;0;51128000;77;2.71043E+13
United Arab Emirates;0.31;89541.45;37;59319547636
United Kingdom ;3841676;394797.98;14;2.29961E+13
United States;58375999;491052.73;11;69238903106
Uruguay ;0.08;290924000;50;5.93195E+14
Vietnam ;0;50180000;79;983469256.8
